Element Type: DimNode 0, GUID: 1EC6ABC4-0C95-4E69-A11B-E1A33A6ED17B, Associated Element GUID: 00000000-0000-0000-0000-000000000000, Text: 0, Length: 0.00, DimNode 0 Bounding Box: [(-88.60, -1.73, 0.00), (-88.60, -1.72, 0.00)], Position: (-88.60, -1.72), Info String: Dim Node 0
Element Type: DimNode 1, GUID: 1EC6ABC4-0C95-4E69-A11B-E1A33A6ED17B, Associated Element GUID: 024A47B5-89E8-8C22-197F-58BC9968E40A, Text: 350, Length: 3.50, DimNode 1 Bounding Box: [(-85.11, -1.73, 0.00), (-85.10, -1.72, 0.00)], Position: (-85.10, -1.72), Info String: Dim Node 1
Element Type: DimNode 2, GUID: 1EC6ABC4-0C95-4E69-A11B-E1A33A6ED17B, Associated Element GUID: 024A47B5-89E8-8C22-197F-58BC9968E40A, Text: 10, Length: 0.10, DimNode 2 Bounding Box: [(-85.00, -1.73, 0.00), (-85.00, -1.72, 0.00)], Position: (-85.00, -1.72), Info String: Dim Node 2
Element Type: DimNode 3, GUID: 1EC6ABC4-0C95-4E69-A11B-E1A33A6ED17B, Associated Element GUID: 964A5BB2-6F1B-BB41-5E33-ADF63E4A0A2C, Text: 260, Length: 2.60, DimNode 3 Bounding Box: [(-82.40, -1.73, 0.00), (-82.39, -1.72, 0.00)], Position: (-82.40, -1.72), Info String: Dim Node 3
Element Type: DimNode 4, GUID: 1EC6ABC4-0C95-4E69-A11B-E1A33A6ED17B, Associated Element GUID: 964A5BB2-6F1B-BB41-5E33-ADF63E4A0A2C, Text: 20, Length: 0.20, DimNode 4 Bounding Box: [(-82.21, -1.73, 0.00), (-82.19, -1.72, 0.00)], Position: (-82.20, -1.72), Info String: Dim Node 4
Element Type: DimNode 5, GUID: 1EC6ABC4-0C95-4E69-A11B-E1A33A6ED17B, Associated Element GUID: 2B817FEA-7370-A6A6-3B0B-3B3D690C7D32, Text: 355, Length: 3.55, DimNode 5 Bounding Box: [(-78.65, -1.73, 0.00), (-78.64, -1.72, 0.00)], Position: (-78.65, -1.72), Info String: Dim Node 5
Element Type: DimNode 6, GUID: 1EC6ABC4-0C95-4E69-A11B-E1A33A6ED17B, Associated Element GUID: 2B817FEA-7370-A6A6-3B0B-3B3D690C7D32, Text: 10, Length: 0.10, DimNode 6 Bounding Box: [(-78.56, -1.73, 0.00), (-78.54, -1.72, 0.00)], Position: (-78.55, -1.72), Info String: Dim Node 6
Element Type: DimNode 7, GUID: 1EC6ABC4-0C95-4E69-A11B-E1A33A6ED17B, Associated Element GUID: 38162794-D6FE-F67E-4A09-2753EE8E72E8, Text: 265, Length: 2.65, DimNode 7 Bounding Box: [(-75.90, -1.73, 0.00), (-75.89, -1.72, 0.00)], Position: (-75.90, -1.72), Info String: Dim Node 7
Element Type: DimNode 8, GUID: 1EC6ABC4-0C95-4E69-A11B-E1A33A6ED17B, Associated Element GUID: 38162794-D6FE-F67E-4A09-2753EE8E72E8, Text: 20, Length: 0.20, DimNode 8 Bounding Box: [(-75.71, -1.73, 0.00), (-75.69, -1.72, 0.00)], Position: (-75.70, -1.72), Info String: Dim Node 8
Element Type: DimNode 9, GUID: 1EC6ABC4-0C95-4E69-A11B-E1A33A6ED17B, Associated Element GUID: 5A2DD050-1D34-9C52-B31C-EC3EDACA4FE3, Text: 265, Length: 2.65, DimNode 9 Bounding Box: [(-73.06, -1.73, 0.00), (-73.04, -1.72, 0.00)], Position: (-73.05, -1.72), Info String: Dim Node 9
Element Type: DimNode 10, GUID: 1EC6ABC4-0C95-4E69-A11B-E1A33A6ED17B, Associated Element GUID: 5A2DD050-1D34-9C52-B31C-EC3EDACA4FE3, Text: 10, Length: 0.10, DimNode 10 Bounding Box: [(-72.96, -1.73, 0.00), (-72.94, -1.72, 0.00)], Position: (-72.95, -1.72), Info String: Dim Node 10
Element Type: DimNode 11, GUID: 1EC6ABC4-0C95-4E69-A11B-E1A33A6ED17B, Associated Element GUID: EEE1E969-5D9D-022C-0550-1061E25EEA15, Text: 355, Length: 3.55, DimNode 11 Bounding Box: [(-69.40, -1.73, 0.00), (-69.39, -1.72, 0.00)], Position: (-69.40, -1.72), Info String: Dim Node 11
Element Type: DimNode 12, GUID: 1EC6ABC4-0C95-4E69-A11B-E1A33A6ED17B, Associated Element GUID: EEE1E969-5D9D-022C-0550-1061E25EEA15, Text: 20, Length: 0.20, DimNode 12 Bounding Box: [(-69.21, -1.73, 0.00), (-69.19, -1.72, 0.00)], Position: (-69.20, -1.72), Info String: Dim Node 12
Element Type: DimNode 13, GUID: 1EC6ABC4-0C95-4E69-A11B-E1A33A6ED17B, Associated Element GUID: C8962100-BCCA-D564-1134-47CD0A9BD7C7, Text: 260, Length: 2.60, DimNode 13 Bounding Box: [(-66.61, -1.73, 0.00), (-66.60, -1.72, 0.00)], Position: (-66.60, -1.72), Info String: Dim Node 13
Element Type: DimNode 14, GUID: 1EC6ABC4-0C95-4E69-A11B-E1A33A6ED17B, Associated Element GUID: C8962100-BCCA-D564-1134-47CD0A9BD7C7, Text: 10, Length: 0.10, DimNode 14 Bounding Box: [(-66.50, -1.73, 0.00), (-66.50, -1.72, 0.00)], Position: (-66.50, -1.72), Info String: Dim Node 14
Element Type: DimNode 15, GUID: 1EC6ABC4-0C95-4E69-A11B-E1A33A6ED17B, Associated Element GUID: 00000000-0000-0000-0000-000000000000, Text: 470, Length: 4.70, DimNode 15 Bounding Box: [(-61.81, -1.73, 0.00), (-61.79, -1.72, 0.00)], Position: (-61.80, -1.72), Info String: Dim Node 15
Element Type: Dimension, GUID: 1EC6ABC4-0C95-4E69-A11B-E1A33A6ED17B, Dimension Bounding Box: [(-88.66, -1.82, 0.20), (-61.74, -1.63, 0.20)], Length: 26.80, Info String: Dim 1
Element Type: DimNode 16, GUID: B92508B1-4A9E-4D4C-8FF1-D69125D38C02, Associated Element GUID: 25883D24-EA74-3818-3388-57B3CA08CF03, Text: 0, Length: 0.00, DimNode 16 Bounding Box: [(-88.60, 0.81, 0.00), (-88.60, 0.82, 0.00)], Position: (-88.60, 0.81), Info String: Dim Node 16
Element Type: DimNode 17, GUID: B92508B1-4A9E-4D4C-8FF1-D69125D38C02, Associated Element GUID: 5181FAD5-585D-E619-C15B-A4D33CF8780F, Text: 348, Length: 3.48, DimNode 17 Bounding Box: [(-85.12, 0.81, 0.00), (-85.11, 0.82, 0.00)], Position: (-85.12, 0.81), Info String: Dim Node 17
Element Type: DimNode 18, GUID: B92508B1-4A9E-4D4C-8FF1-D69125D38C02, Associated Element GUID: 5181FAD5-585D-E619-C15B-A4D33CF8780F, Text: 15, Length: 0.15, DimNode 18 Bounding Box: [(-84.97, 0.81, 0.00), (-84.96, 0.82, 0.00)], Position: (-84.97, 0.81), Info String: Dim Node 18
Element Type: DimNode 19, GUID: B92508B1-4A9E-4D4C-8FF1-D69125D38C02, Associated Element GUID: C83B90CD-D1F6-C14A-657D-AE37D37FB686, Text: 284, Length: 2.84, DimNode 19 Bounding Box: [(-82.14, 0.81, 0.00), (-82.12, 0.82, 0.00)], Position: (-82.13, 0.81), Info String: Dim Node 19
Element Type: DimNode 20, GUID: B92508B1-4A9E-4D4C-8FF1-D69125D38C02, Associated Element GUID: C83B90CD-D1F6-C14A-657D-AE37D37FB686, Text: 15, Length: 0.15, DimNode 20 Bounding Box: [(-81.99, 0.81, 0.00), (-81.97, 0.82, 0.00)], Position: (-81.98, 0.81), Info String: Dim Node 20
Element Type: DimNode 21, GUID: B92508B1-4A9E-4D4C-8FF1-D69125D38C02, Associated Element GUID: 9E5C7CFE-EB84-310A-93AA-2EFEFB009F52, Text: 331, Length: 3.31, DimNode 21 Bounding Box: [(-78.67, 0.81, 0.00), (-78.67, 0.82, 0.00)], Position: (-78.67, 0.81), Info String: Dim Node 21
Element Type: DimNode 22, GUID: B92508B1-4A9E-4D4C-8FF1-D69125D38C02, Associated Element GUID: 9E5C7CFE-EB84-310A-93AA-2EFEFB009F52, Text: 15, Length: 0.15, DimNode 22 Bounding Box: [(-78.53, 0.81, 0.00), (-78.51, 0.82, 0.00)], Position: (-78.52, 0.81), Info String: Dim Node 22
Element Type: DimNode 23, GUID: B92508B1-4A9E-4D4C-8FF1-D69125D38C02, Associated Element GUID: B79977DB-ACF4-E989-4052-5633ABB0C9B8, Text: 264.5, Length: 2.64, DimNode 23 Bounding Box: [(-75.88, 0.81, 0.00), (-75.87, 0.82, 0.00)], Position: (-75.87, 0.81), Info String: Dim Node 23
