Element Type: DimNode 0, GUID: 8C17BCB1-3B85-40B6-A9CF-59D1E73910C0, Associated Element GUID: 00000000-0000-0000-0000-000000000000, Text: 0, Length: 0.00, DimNode 0 Bounding Box: [(-90.31, -24.85, 0.00), (-90.29, -24.84, 0.00)], Position: (-90.30, -24.85), Info String: Dim Node 0
Element Type: DimNode 1, GUID: 8C17BCB1-3B85-40B6-A9CF-59D1E73910C0, Associated Element GUID: 77AA4A99-CD3D-4018-B1F2-1DB3D07B7665, Text: 70, Length: 0.70, DimNode 1 Bounding Box: [(-89.61, -24.85, 0.00), (-89.60, -24.84, 0.00)], Position: (-89.60, -24.85), Info String: Dim Node 1
Element Type: DimNode 2, GUID: 8C17BCB1-3B85-40B6-A9CF-59D1E73910C0, Associated Element GUID: 77AA4A99-CD3D-4018-B1F2-1DB3D07B7665, Text: 10, Length: 0.10, DimNode 2 Bounding Box: [(-89.50, -24.85, 0.00), (-89.50, -24.84, 0.00)], Position: (-89.50, -24.85), Info String: Dim Node 2
Element Type: DimNode 3, GUID: 8C17BCB1-3B85-40B6-A9CF-59D1E73910C0, Associated Element GUID: FC814F15-94F4-42A1-8F35-5FD038E1B953, Text: 490, Length: 4.90, DimNode 3 Bounding Box: [(-84.60, -24.85, 0.00), (-84.60, -24.84, 0.00)], Position: (-84.60, -24.85), Info String: Dim Node 3
Element Type: DimNode 4, GUID: 8C17BCB1-3B85-40B6-A9CF-59D1E73910C0, Associated Element GUID: FC814F15-94F4-42A1-8F35-5FD038E1B953, Text: 10, Length: 0.10, DimNode 4 Bounding Box: [(-84.50, -24.85, 0.00), (-84.50, -24.84, 0.00)], Position: (-84.50, -24.85), Info String: Dim Node 4
Element Type: DimNode 5, GUID: 8C17BCB1-3B85-40B6-A9CF-59D1E73910C0, Associated Element GUID: 2210CE50-3744-4931-95FF-398FB59C8DCC, Text: 240, Length: 2.40, DimNode 5 Bounding Box: [(-82.10, -24.85, 0.00), (-82.10, -24.84, 0.00)], Position: (-82.10, -24.85), Info String: Dim Node 5
Element Type: DimNode 6, GUID: 8C17BCB1-3B85-40B6-A9CF-59D1E73910C0, Associated Element GUID: 2210CE50-3744-4931-95FF-398FB59C8DCC, Text: 10, Length: 0.10, DimNode 6 Bounding Box: [(-82.00, -24.85, 0.00), (-82.00, -24.84, 0.00)], Position: (-82.00, -24.85), Info String: Dim Node 6
Element Type: DimNode 7, GUID: 8C17BCB1-3B85-40B6-A9CF-59D1E73910C0, Associated Element GUID: A798F5C9-D616-46F3-8AA6-78F5AB036182, Text: 280, Length: 2.80, DimNode 7 Bounding Box: [(-79.21, -24.85, 0.00), (-79.19, -24.84, 0.00)], Position: (-79.20, -24.85), Info String: Dim Node 7
Element Type: DimNode 8, GUID: 8C17BCB1-3B85-40B6-A9CF-59D1E73910C0, Associated Element GUID: A798F5C9-D616-46F3-8AA6-78F5AB036182, Text: 10, Length: 0.10, DimNode 8 Bounding Box: [(-79.11, -24.85, 0.00), (-79.10, -24.84, 0.00)], Position: (-79.10, -24.85), Info String: Dim Node 8
Element Type: DimNode 9, GUID: 8C17BCB1-3B85-40B6-A9CF-59D1E73910C0, Associated Element GUID: 2AA50693-447B-4164-B247-B318D78F5BC3, Text: 320, Length: 3.20, DimNode 9 Bounding Box: [(-75.90, -24.85, 0.00), (-75.90, -24.84, 0.00)], Position: (-75.90, -24.85), Info String: Dim Node 9
Element Type: DimNode 10, GUID: 8C17BCB1-3B85-40B6-A9CF-59D1E73910C0, Associated Element GUID: 2AA50693-447B-4164-B247-B318D78F5BC3, Text: 20, Length: 0.20, DimNode 10 Bounding Box: [(-75.71, -24.85, 0.00), (-75.69, -24.84, 0.00)], Position: (-75.70, -24.85), Info String: Dim Node 10
Element Type: DimNode 11, GUID: 8C17BCB1-3B85-40B6-A9CF-59D1E73910C0, Associated Element GUID: F1EC9B12-E701-4489-953E-7F921C77ED35, Text: 320, Length: 3.20, DimNode 11 Bounding Box: [(-72.50, -24.85, 0.00), (-72.49, -24.84, 0.00)], Position: (-72.50, -24.85), Info String: Dim Node 11
Element Type: DimNode 12, GUID: 8C17BCB1-3B85-40B6-A9CF-59D1E73910C0, Associated Element GUID: F1EC9B12-E701-4489-953E-7F921C77ED35, Text: 10, Length: 0.10, DimNode 12 Bounding Box: [(-72.40, -24.85, 0.00), (-72.39, -24.84, 0.00)], Position: (-72.40, -24.85), Info String: Dim Node 12
Element Type: DimNode 13, GUID: 8C17BCB1-3B85-40B6-A9CF-59D1E73910C0, Associated Element GUID: EA831C46-0CC3-46C8-B79D-F48FC9F9D890, Text: 250, Length: 2.50, DimNode 13 Bounding Box: [(-69.90, -24.85, 0.00), (-69.89, -24.84, 0.00)], Position: (-69.90, -24.85), Info String: Dim Node 13
