Element Type: Wall, GUID: 7C34E5AE-2A0E-964D-9D7D-CFD562F9E5F1, Length: 1.05, Width: 0.15, Height: 2.95, Embedded Door GUID: CC67AD75-5217-5B49-B867-A3674359E3C2, Info String: SW - 042, Wall Bounding Box: [(12.88, 15.11, -0.15), (13.03, 16.16, 2.80)], Label Type: 0
Element Type: Wall, GUID: 10EE15A5-F98B-E440-BFB4-889BD37E55F6, Length: 9.70, Width: 0.15, Height: 2.80, Info String: SW - 043, Wall Bounding Box: [(10.63, 13.91, -0.00), (20.33, 14.06, 2.80)], Label Type: 0
Element Type: Wall, GUID: C473BA0E-B3D5-5C4A-8F44-0D49CDFE38F1, Length: 1.05, Width: 0.15, Height: 2.80, Info String: SW - 044, Wall Bounding Box: [(18.03, 15.11, -0.00), (18.18, 16.16, 2.80)], Label Type: 0
Element Type: Wall, GUID: 8F4A6E9F-9A98-A443-976A-D1836D4C1339, Length: 5.00, Width: 0.15, Height: 2.80, Info String: SW - 042, Wall Bounding Box: [(13.03, 16.01, -0.00), (18.03, 16.16, 2.80)], Label Type: 0
Element Type: Wall, GUID: 91E168CD-0980-0246-81AE-482E7530F922, Length: 5.25, Width: 0.05, Height: 0.98, Info String: SW - 048, Wall Bounding Box: [(6.81, 10.91, -1.00), (6.86, 16.16, -0.02)], Label Type: 0
Element Type: Wall, GUID: CC91539F-D5D9-0048-A78E-AC8D5A819C3C, Length: 9.67, Width: 0.45, Height: 0.30, Info String: SW - 035, Wall Bounding Box: [(18.18, 15.71, 0.00), (27.85, 16.16, 0.30)], Label Type: 0
Element Type: Wall, GUID: EDD412DF-E36D-5E4A-AD53-BBA37E0DDD92, Length: 8.60, Width: 0.10, Height: 0.30, Info String: SW - 037, Wall Bounding Box: [(6.86, 9.90, 0.00), (15.42, 10.86, 0.30)], Label Type: 0
Element Type: Wall, GUID: 3E28DE00-2067-D940-86A9-18BD2C907EF1, Length: 12.60, Width: 0.10, Height: 0.30, Info String: SW - 038, Wall Bounding Box: [(15.40, 9.90, 0.00), (27.85, 12.02, 0.30)], Label Type: 0
Element Type: Wall, GUID: BDFBF835-D038-2847-A2C9-D207311046B5, Length: 1.88, Width: 0.10, Height: 0.30, Info String: SW - 039, Wall Bounding Box: [(27.75, 11.92, 0.00), (27.85, 13.80, 0.30)], Label Type: 0
Element Type: Wall, GUID: D52CD4EF-BEBA-4D40-BEC9-1C10D5AC1729, Length: 6.17, Width: 0.10, Height: 0.30, Info String: SW - 035, Wall Bounding Box: [(6.86, 16.06, 0.00), (13.03, 16.16, 0.30)], Label Type: 0
Element Type: Wall, GUID: E02A145B-87C1-5243-987C-085E34D606C9, Length: 1.65, Width: 0.02, Height: 1.25, Info String: SW - 035, Wall Bounding Box: [(15.43, 9.92, 0.30), (17.06, 10.21, 1.55)], Label Type: 0
Element Type: Wall, GUID: 089FD740-C28C-6A4D-806D-B18729B7D826, Length: 1.50, Width: 0.02, Height: 1.25, Info String: SW - 035, Wall Bounding Box: [(17.10, 10.20, 0.30), (18.59, 10.46, 1.55)], Label Type: 0
Element Type: Wall, GUID: 29125E4D-8E20-2645-9B7B-BAA3880575D8, Length: 1.50, Width: 0.02, Height: 1.25, Info String: SW - 035, Wall Bounding Box: [(18.63, 10.44, 0.30), (20.12, 10.70, 1.55)], Label Type: 0
Element Type: Wall, GUID: 6102CEE7-168F-074C-ABC4-152D6B70800F, Length: 1.50, Width: 0.02, Height: 1.25, Info String: SW - 035, Wall Bounding Box: [(20.16, 10.69, 0.30), (21.65, 10.95, 1.55)], Label Type: 0
Element Type: Wall, GUID: 024FC196-562A-ED44-BA41-9E351FA8DFAA, Length: 1.50, Width: 0.02, Height: 1.25, Info String: SW - 035, Wall Bounding Box: [(21.69, 10.94, 0.30), (23.18, 11.20, 1.55)], Label Type: 0
Element Type: Wall, GUID: 197E21B8-43DF-0E43-B0D9-F845B7721E75, Length: 1.50, Width: 0.02, Height: 1.25, Info String: SW - 035, Wall Bounding Box: [(23.22, 11.19, 0.30), (24.71, 11.45, 1.55)], Label Type: 0
Element Type: Wall, GUID: C925DF3B-DDDA-9342-B7C4-4A38BA14C738, Length: 1.50, Width: 0.02, Height: 1.25, Info String: SW - 035, Wall Bounding Box: [(24.75, 11.44, 0.30), (26.24, 11.70, 1.55)], Label Type: 0
Element Type: Wall, GUID: FF02AC66-A5EF-FB44-B68D-91DA9C283AEE, Length: 1.50, Width: 0.02, Height: 1.25, Info String: SW - 035, Wall Bounding Box: [(26.28, 11.68, 0.30), (27.77, 11.94, 1.55)], Label Type: 0
Element Type: Wall, GUID: 6A00D91D-D915-9841-93FC-ADD1CB4F3129, Length: 1.05, Width: 0.02, Height: 1.25, Info String: SW - 035, Wall Bounding Box: [(27.82, 12.01, 0.30), (27.84, 13.06, 1.55)], Label Type: 0
Element Type: Wall, GUID: AEFF6862-0C52-2D40-AD8F-098934F999E0, Length: 1.00, Width: 0.02, Height: 1.25, Info String: SW - 035, Wall Bounding Box: [(27.82, 13.11, 0.30), (27.84, 14.11, 1.55)], Label Type: 0
Element Type: Wall, GUID: EAE64196-4244-6243-A1E8-D6658D5CD738, Length: 1.00, Width: 0.02, Height: 1.25, Info String: SW - 035, Wall Bounding Box: [(27.82, 14.16, 0.30), (27.84, 15.16, 1.55)], Label Type: 0
Element Type: Wall, GUID: C109D379-155E-1244-B569-3FEF57C9953C, Length: 0.90, Width: 0.02, Height: 1.25, Info String: SW - 035, Wall Bounding Box: [(27.82, 15.21, 0.30), (27.84, 16.11, 1.55)], Label Type: 0
Element Type: Wall, GUID: 1FC00172-F9FD-8146-984B-7FA16F5B90B7, Length: 1.50, Width: 0.02, Height: 1.25, Info String: SW - 035, Wall Bounding Box: [(26.29, 16.12, 0.30), (27.79, 16.14, 1.55)], Label Type: 0
