Element Type: DimNode 0, GUID: C25B55C2-EA46-134A-A406-59A30FC7DEC0, Associated Element GUID: C252BF2B-895B-4342-8477-A5B00C1D61E7, Text: 0.000, Length: 0.00, DimNode 0 Bounding Box: [(44.16, -0.16, 0.00), (44.17, -0.14, 0.00)], Position: (44.17, -0.15), Info String: Dim Node 0
Element Type: DimNode 1, GUID: C25B55C2-EA46-134A-A406-59A30FC7DEC0, Associated Element GUID: 62FBFE50-0C59-E441-9070-82ED4333C30F, Text: 4.225, Length: 4.23, DimNode 1 Bounding Box: [(44.16, -4.38, 0.00), (44.17, -4.37, 0.00)], Position: (44.17, -4.38), Info String: Dim Node 1
Element Type: DimNode 2, GUID: C25B55C2-EA46-134A-A406-59A30FC7DEC0, Associated Element GUID: 427A07B4-534D-C147-9633-A718D8878009, Text: 4.775, Length: 4.77, DimNode 2 Bounding Box: [(44.16, -9.15, 0.00), (44.17, -9.15, 0.00)], Position: (44.17, -9.15), Info String: Dim Node 2
Element Type: DimNode 3, GUID: C25B55C2-EA46-134A-A406-59A30FC7DEC0, Associated Element GUID: E7331A34-B3E4-7946-B0A5-93950F4FE10B, Text: 6.700, Length: 6.70, DimNode 3 Bounding Box: [(44.16, -15.85, 0.00), (44.17, -15.85, 0.00)], Position: (44.17, -15.85), Info String: Dim Node 3
Element Type: DimNode 4, GUID: C25B55C2-EA46-134A-A406-59A30FC7DEC0, Associated Element GUID: B0FE5AF8-40AD-BA41-8C87-C4763841FF52, Text: 3.575, Length: 3.58, DimNode 4 Bounding Box: [(44.16, -19.43, 0.00), (44.17, -19.42, 0.00)], Position: (44.17, -19.43), Info String: Dim Node 4
Element Type: DimNode 5, GUID: C25B55C2-EA46-134A-A406-59A30FC7DEC0, Associated Element GUID: 218CD0E5-8E23-FC4F-B313-8233AA8F7704, Text: 4.425, Length: 4.43, DimNode 5 Bounding Box: [(44.16, -23.85, 0.00), (44.17, -23.84, 0.00)], Position: (44.17, -23.85), Info String: Dim Node 5
Element Type: Dimension, GUID: C25B55C2-EA46-134A-A406-59A30FC7DEC0, Dimension Bounding Box: [(44.07, -23.91, 0.00), (44.26, -0.09, 0.00)], Length: 23.70, Info String: Dim 1
Element Type: DimNode 6, GUID: F27ED350-C2AA-BF41-A1C5-2B0ECE7B3DC4, Associated Element GUID: F8BECCF9-69AE-9F46-8506-83CA71803790, Text: 0.000, Length: 0.00, DimNode 6 Bounding Box: [(46.19, -26.88, 0.00), (46.20, -26.87, 0.00)], Position: (46.19, -26.88), Info String: Dim Node 6
Element Type: DimNode 7, GUID: F27ED350-C2AA-BF41-A1C5-2B0ECE7B3DC4, Associated Element GUID: 07DF54FB-DECF-F044-8D7C-61A30C3E8E6A, Text: 12.200, Length: 12.20, DimNode 7 Bounding Box: [(58.39, -26.88, 0.00), (58.40, -26.87, 0.00)], Position: (58.39, -26.88), Info String: Dim Node 7
Element Type: Dimension, GUID: F27ED350-C2AA-BF41-A1C5-2B0ECE7B3DC4, Dimension Bounding Box: [(46.13, -26.97, 0.00), (58.45, -26.78, 0.00)], Length: 12.20, Info String: Dim 2
Element Type: DimNode 8, GUID: 27899382-13CF-A148-BBA3-BA1C00F1859B, Associated Element GUID: C252BF2B-895B-4342-8477-A5B00C1D61E7, Text: 0.000, Length: 0.00, DimNode 8 Bounding Box: [(43.52, -0.16, 0.00), (43.53, -0.14, 0.00)], Position: (43.52, -0.15), Info String: Dim Node 8
Element Type: DimNode 9, GUID: 27899382-13CF-A148-BBA3-BA1C00F1859B, Associated Element GUID: 218CD0E5-8E23-FC4F-B313-8233AA8F7704, Text: 23.700, Length: 23.70, DimNode 9 Bounding Box: [(43.52, -23.85, 0.00), (43.53, -23.84, 0.00)], Position: (43.52, -23.85), Info String: Dim Node 9
Element Type: Dimension, GUID: 27899382-13CF-A148-BBA3-BA1C00F1859B, Dimension Bounding Box: [(43.43, -23.91, 0.00), (43.61, -0.09, 0.00)], Length: 23.70, Info String: Dim 3
Element Type: DimNode 10, GUID: 36E5CCEA-F607-6442-B9B7-754E7E818F98, Associated Element GUID: F8BECCF9-69AE-9F46-8506-83CA71803790, Text: 0.000, Length: 0.00, DimNode 10 Bounding Box: [(46.19, -25.88, 0.00), (46.20, -25.87, 0.00)], Position: (46.19, -25.88), Info String: Dim Node 10
Element Type: DimNode 11, GUID: 36E5CCEA-F607-6442-B9B7-754E7E818F98, Associated Element GUID: E367656E-83C9-6345-BDDE-DCA5F3F0E77B, Text: 4.975, Length: 4.98, DimNode 11 Bounding Box: [(51.16, -25.88, 0.00), (51.17, -25.87, 0.00)], Position: (51.17, -25.88), Info String: Dim Node 11
Element Type: DimNode 12, GUID: 36E5CCEA-F607-6442-B9B7-754E7E818F98, Associated Element GUID: 74EAD3FB-A062-8C40-92C8-56C8397B4EBC, Text: 2.250, Length: 2.25, DimNode 12 Bounding Box: [(53.41, -25.88, 0.00), (53.42, -25.87, 0.00)], Position: (53.42, -25.88), Info String: Dim Node 12
Element Type: DimNode 13, GUID: 36E5CCEA-F607-6442-B9B7-754E7E818F98, Associated Element GUID: 07DF54FB-DECF-F044-8D7C-61A30C3E8E6A, Text: 4.975, Length: 4.97, DimNode 13 Bounding Box: [(58.39, -25.88, 0.00), (58.40, -25.87, 0.00)], Position: (58.39, -25.88), Info String: Dim Node 13
Element Type: Dimension, GUID: 36E5CCEA-F607-6442-B9B7-754E7E818F98, Dimension Bounding Box: [(46.13, -25.97, 0.00), (58.45, -25.78, 0.00)], Length: 12.20, Info String: Dim 4
Element Type: Wall, GUID: 619B3302-1090-C043-AD9E-A8629EA12E84, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(50.02, -24.70, 3.05), (50.07, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: EB1EBE23-95E0-EC42-A903-E38A69BE5E40, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(50.12, -24.70, 3.05), (50.17, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: 08FA8412-2C30-0C45-BED9-AA37EC97AFAB, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(50.32, -24.70, 3.05), (50.37, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: 63A135BB-9F49-824F-AD69-011305DE016E, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(50.52, -24.70, 3.05), (50.57, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: 48472CD3-74D3-A048-8BE3-0C9A683BCACF, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(50.22, -24.70, 3.05), (50.27, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: DB0109A1-5118-4D40-90A7-B16D527AC768, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(50.42, -24.70, 3.05), (50.47, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: EC95548D-48DE-8C40-8C64-6F50DD651810, Length: 3.54, Width: 0.15, Height: 3.40, Info String: SW - 010, Wall Bounding Box: [(53.42, -22.54, 3.40), (53.57, -19.00, 6.80)], Label Type: 0
Element Type: Wall, GUID: 130B2A0B-0C55-5B43-95BB-A9329778CFC9, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(46.42, -24.70, 3.05), (46.47, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: 50457CB6-ECCF-334D-A890-D658D1F437A5, Length: 4.98, Width: 0.30, Height: 3.90, Info String: SW - 012, Wall Bounding Box: [(46.04, -16.00, -0.50), (51.02, -15.70, 3.40)], Label Type: 0
Element Type: Wall, GUID: 993E7C9F-C70B-B54E-A8D7-E40BBEB35ED3, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(46.32, -24.70, 3.05), (46.37, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: 6792B7F8-2884-2843-984E-19E75407507F, Length: 3.02, Width: 0.15, Height: 1.15, Info String: SW - 008, Wall Bounding Box: [(54.27, -3.25, 0.15), (57.29, -3.10, 1.30)], Label Type: 0
Element Type: Wall, GUID: 0588AF80-2362-B745-8CD0-7BE52AE89682, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(46.12, -24.70, 3.05), (46.17, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: 19134958-7ED1-2D4F-A2E2-A80B84FEFEE2, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(52.82, -24.70, 3.05), (52.87, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: 39CD8922-93DD-B54B-9613-49FA901F5582, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(52.62, -24.70, 3.05), (52.67, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: B23C9683-C4B5-8041-BE9A-DC4D9F9F01F5, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(46.22, -24.70, 3.05), (46.27, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: 9A345556-A7A9-EB47-BA08-91CD2698BC1A, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(47.62, -24.70, 3.05), (47.67, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: ED126663-C0D5-3549-B8AC-744ABB2B6F8E, Length: 1.95, Width: 0.30, Height: 3.90, Embedded Door GUID: E218BBE9-0C33-6C4F-AED1-B6A841E0EBF2, Info String: SW - 008, Wall Bounding Box: [(51.32, -16.00, -0.50), (53.27, -15.70, 3.40)], Label Type: 0
Element Type: Wall, GUID: 6FD8C18B-D520-3B47-BF20-FCD5BC08E8D9, Length: 14.10, Width: 0.30, Height: 3.40, Info String: SW - 011, Wall Bounding Box: [(68.44, 0.25, 0.00), (82.54, 0.55, 3.40)], Label Type: 0
Element Type: Wall, GUID: 3B8C2028-CE42-8949-B0AD-582222F64282, Length: 8.05, Width: 0.30, Height: 3.60, Info String: SW - 008, Wall Bounding Box: [(46.04, -9.30, -0.20), (46.34, -1.25, 3.40)], Label Type: 0
Element Type: Wall, GUID: EDC79A68-9819-534C-85B7-DB99BACD5E6C, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(49.92, -24.70, 3.05), (49.97, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: AE077B92-D2D5-814F-9226-283FF29B9308, Length: 12.50, Width: 0.30, Height: 8.40, Info String: SW - 011, Wall Bounding Box: [(46.04, -0.30, -0.50), (58.54, 0.00, 7.90)], Label Type: 0
Element Type: Wall, GUID: 481541E9-30F7-4541-AC5C-6A4FB43610CA, Length: 1.72, Width: 0.15, Height: 3.50, Info String: SW - 008, Wall Bounding Box: [(49.59, -19.05, -0.10), (51.32, -18.90, 3.40)], Label Type: 0
Element Type: Wall, GUID: BB83A33F-E12F-6746-A191-F7C7BFC55343, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(53.32, -24.70, 3.05), (53.37, -24.60, 7.60)], Label Type: 0
